1.390000000000000000e+02,7.096670153862814345e+01,6.000000000000000000e+00,7.900000000000000000e+01,-3.917376681370574043e-01
1.481304347826086882e+02,7.477925353260273766e+01,6.956521739130434590e+00,7.300000000000000000e+01,-3.970054317996402071e-01
9.295652173913043725e+01,4.846036643097641416e+01,4.521739130434782261e+00,6.500000000000000000e+01,-3.686077158846570723e-01
1.166086956521739069e+02,5.852174353522937622e+01,7.608695652173913082e+00,6.000000000000000000e+01,-4.063861263186556716e-01
1.373043478260869676e+02,6.970615910090579348e+01,5.826086956521739246e+00,6.300000000000000000e+01,-3.850161971401664385e-01
1.384782608695652186e+02,7.122937951385547706e+01,5.913043478260869179e+00,7.700000000000000000e+01,-3.856781686394909481e-01
1.653478260869565304e+02,8.462355608847506971e+01,8.043478260869564522e+00,6.900000000000000000e+01,-3.976036945694508273e-01
1.465217391304347814e+02,7.324669993510559607e+01,7.913043478260869179e+00,6.600000000000000000e+01,-3.962126854487416638e-01
1.610869565217391255e+02,8.117652652397750046e+01,7.000000000000000000e+00,7.200000000000000000e+01,-3.949854465305625006e-01
1.382608695652174049e+02,6.875068091649866631e+01,5.000000000000000000e+00,6.800000000000000000e+01,-3.561347525121046353e-01
1.712173913043478137e+02,8.604489130772439864e+01,7.913043478260869179e+00,7.000000000000000000e+01,-3.951547486651889041e-01
9.743478260869565588e+01,4.841564931728407117e+01,4.956521739130434590e+00,6.600000000000000000e+01,-3.605144311109609867e-01
1.341304347826086882e+02,6.759727290614486606e+01,6.000000000000000000e+00,7.700000000000000000e+01,-3.824056337235537950e-01
1.498695652173913118e+02,7.541419226682015164e+01,8.652173913043478493e+00,6.000000000000000000e+01,-3.900973775969974189e-01
1.722173913043478137e+02,8.801185690872418377e+01,7.869565217391304657e+00,5.500000000000000000e+01,-3.902951899506305056e-01
1.088260869565217348e+02,5.576383006109787743e+01,5.000000000000000000e+00,6.800000000000000000e+01,-3.574363557058588547e-01
9.056521739130434412e+01,4.743208166991517061e+01,5.565217391304347672e+00,6.700000000000000000e+01,-3.984507837530895658e-01
1.236086956521739069e+02,6.056306940284707707e+01,5.913043478260869179e+00,6.600000000000000000e+01,-3.896803489417912103e-01
1.680434782608695627e+02,8.633311713719426450e+01,5.956521739130434590e+00,7.400000000000000000e+01,-3.833911693814003874e-01
1.685217391304347814e+02,8.542453850420338313e+01,7.000000000000000000e+00,6.000000000000000000e+01,-3.921372594387093069e-01
1.849565217391304373e+02,9.455276461554517198e+01,9.043478260869564522e+00,6.200000000000000000e+01,-3.574267808868580310e-01
1.096086956521739069e+02,5.478863446375682145e+01,5.869565217391304657e+00,5.400000000000000000e+01,-3.875212614190306493e-01
1.730869565217391255e+02,8.573845697207623573e+01,7.869565217391304657e+00,6.100000000000000000e+01,-3.890361226368117542e-01
1.747826086956521863e+02,8.652742945119096873e+01,7.956521739130434590e+00,5.900000000000000000e+01,-3.913384034527275790e-01
1.363043478260869676e+02,6.683251439409679051e+01,8.826086956521738358e+00,5.000000000000000000e+01,-3.874362263533991380e-01
1.712173913043478137e+02,8.826610413029409585e+01,7.956521739130434590e+00,6.100000000000000000e+01,-3.907631697655340464e-01
1.013478260869565162e+02,5.146544179937390595e+01,6.869565217391304657e+00,5.100000000000000000e+01,-4.006964595852659516e-01
1.203043478260869534e+02,6.100330451750409821e+01,7.956521739130434590e+00,5.300000000000000000e+01,-4.066352321512344825e-01
1.413043478260869676e+02,7.110966868321884249e+01,7.913043478260869179e+00,5.100000000000000000e+01,-3.930399705676155264e-01
1.898695652173913118e+02,9.462044001157566697e+01,7.826086956521739246e+00,6.300000000000000000e+01,-3.924109711913159604e-01
1.200434782608695627e+02,5.814048680165652172e+01,8.869565217391304657e+00,5.200000000000000000e+01,-3.823829454635562231e-01
1.223043478260869534e+02,6.309187729206633577e+01,6.652173913043478493e+00,5.400000000000000000e+01,-4.017054591536384778e-01
1.653043478260869676e+02,8.336308032969591864e+01,7.869565217391304657e+00,5.700000000000000000e+01,-3.988321167757036823e-01
1.250000000000000000e+02,6.355670338724740276e+01,6.000000000000000000e+00,7.300000000000000000e+01,-3.877961680394982347e-01
1.564347826086956559e+02,7.886687637863769851e+01,8.086956521739130821e+00,5.600000000000000000e+01,-3.924045952883466470e-01
1.763478260869565304e+02,8.787419142038554298e+01,8.913043478260869179e+00,6.300000000000000000e+01,-3.758051639421442491e-01
1.848695652173913118e+02,9.154596676872527894e+01,9.043478260869564522e+00,6.700000000000000000e+01,-3.663048563370043254e-01
1.395217391304347814e+02,7.018538410732314503e+01,6.869565217391304657e+00,6.800000000000000000e+01,-3.935144876190457275e-01
1.332608695652174049e+02,6.693634519676433570e+01,5.956521739130434590e+00,6.400000000000000000e+01,-3.881552407416563599e-01
1.469130434782608745e+02,7.273983093156437008e+01,8.000000000000000000e+00,5.200000000000000000e+01,-3.980884886394112643e-01
1.816521739130434696e+02,9.238733123286988302e+01,9.739130434782609314e+00,6.100000000000000000e+01,-3.424747560887832498e-01
1.074782608695652186e+02,5.282291992653584600e+01,5.869565217391304657e+00,5.500000000000000000e+01,-3.872200066898790483e-01
1.140869565217391255e+02,5.720053483815296858e+01,5.913043478260869179e+00,5.400000000000000000e+01,-3.855531761394235812e-01
9.452173913043478137e+01,5.055408405875595435e+01,4.000000000000000000e+00,6.400000000000000000e+01,-3.170285887604152308e-01
1.604782608695652186e+02,8.009589114715015512e+01,8.869565217391304657e+00,6.100000000000000000e+01,-3.773316002126640978e-01
1.402173913043478137e+02,6.955897205167264019e+01,7.869565217391304657e+00,5.300000000000000000e+01,-3.951693594689744682e-01
1.180869565217391255e+02,5.980339990599367894e+01,4.956521739130434590e+00,7.500000000000000000e+01,-3.589990096052717017e-01
1.783043478260869676e+02,9.083172992988372130e+01,7.000000000000000000e+00,6.600000000000000000e+01,-3.957942142703537169e-01
1.445217391304347814e+02,7.306464731829638026e+01,6.913043478260869179e+00,5.800000000000000000e+01,-3.963702592254997881e-01
1.171304347826087024e+02,6.161633811360135837e+01,5.000000000000000000e+00,5.600000000000000000e+01,-3.549053815270593049e-01
1.100869565217391255e+02,5.415123019124585113e+01,6.695652173913043903e+00,5.000000000000000000e+01,-4.001099291615639597e-01
1.460000000000000000e+02,7.244433599793580925e+01,7.000000000000000000e+00,6.200000000000000000e+01,-3.948823648056229985e-01
1.750434782608695627e+02,8.737769543813254813e+01,9.391304347826087806e+00,5.700000000000000000e+01,-3.553884377017730301e-01
1.388695652173913118e+02,6.834092634314181680e+01,8.739130434782609314e+00,5.300000000000000000e+01,-3.825924941013038039e-01
1.226521739130434838e+02,5.993679147511999616e+01,6.130434782608695343e+00,6.300000000000000000e+01,-4.149359424511891437e-01
1.541304347826086882e+02,7.737412319833720176e+01,7.913043478260869179e+00,7.000000000000000000e+01,-3.909820602523844113e-01
1.476521739130434696e+02,7.587226628033350551e+01,7.956521739130434590e+00,5.200000000000000000e+01,-3.912585132284851497e-01
1.739130434782608745e+02,9.072982522726886145e+01,8.956521739130435478e+00,5.900000000000000000e+01,-3.702668234110434997e-01
1.701304347826086882e+02,8.613694400505305282e+01,8.956521739130435478e+00,5.600000000000000000e+01,-3.681983260787075607e-01
1.506956521739130324e+02,7.523262999922833671e+01,9.869565217391304657e+00,5.300000000000000000e+01,-3.595973275807138880e-01
1.290000000000000000e+02,6.678118951267094872e+01,7.000000000000000000e+00,5.700000000000000000e+01,-3.989894450230176415e-01
1.716956521739130324e+02,8.591773802603208310e+01,8.913043478260869179e+00,6.100000000000000000e+01,-3.729939022155541739e-01
1.501739130434782510e+02,7.499130384367184377e+01,5.000000000000000000e+00,7.300000000000000000e+01,-3.531844898529621357e-01
1.573043478260869676e+02,7.689097049636919223e+01,9.043478260869564522e+00,5.700000000000000000e+01,-3.693524934462490972e-01
1.534782608695652186e+02,7.843055385916976263e+01,6.000000000000000000e+00,6.100000000000000000e+01,-3.785076229945885107e-01
1.896956521739130324e+02,9.364023745776302121e+01,6.000000000000000000e+00,7.100000000000000000e+01,-3.759035864053872356e-01
1.156521739130434838e+02,6.048336262270971275e+01,5.956521739130434590e+00,6.700000000000000000e+01,-3.903232304325059965e-01
1.417826086956521863e+02,7.308460633946431528e+01,6.956521739130434590e+00,6.200000000000000000e+01,-3.966488402906451771e-01
1.618260869565217490e+02,8.156015748229982876e+01,7.000000000000000000e+00,6.000000000000000000e+01,-3.901881971900217905e-01
1.097826086956521721e+02,5.429126542986711712e+01,7.782608695652173836e+00,5.600000000000000000e+01,-4.045856875459681867e-01
1.594347826086956559e+02,8.267176394247121607e+01,1.043478260869565233e+01,6.400000000000000000e+01,-3.159345468369215149e-01
1.165652173913043441e+02,5.885175990799914558e+01,6.956521739130434590e+00,7.100000000000000000e+01,-3.997052130544607174e-01
1.764782608695652186e+02,8.699575202022921872e+01,8.956521739130435478e+00,5.600000000000000000e+01,-3.731626547437988384e-01
1.525217391304347814e+02,7.856547331263234923e+01,9.391304347826087806e+00,6.400000000000000000e+01,-3.730404998396763538e-01
1.763043478260869676e+02,8.582192704696937824e+01,8.956521739130435478e+00,6.300000000000000000e+01,-3.753891990459021222e-01
1.688695652173913118e+02,8.455568598042682993e+01,9.217391304347826164e+00,5.400000000000000000e+01,-3.643062076655569914e-01
1.324347826086956559e+02,6.703854121253786502e+01,6.913043478260869179e+00,5.100000000000000000e+01,-3.954745597230833742e-01
1.327826086956521863e+02,6.584551929377725799e+01,9.869565217391304657e+00,5.200000000000000000e+01,-3.454244074204518289e-01
1.382173913043478137e+02,6.742939507483440309e+01,7.000000000000000000e+00,6.200000000000000000e+01,-3.964448010447574888e-01
