R0_true,sigma_true,n_seeds,R0_mean,R0_bias,R0_sd,sigma_mean,sigma_bias,sigma_sd,source_file
1.2,0.5,20,1.193718592964824,-0.00628140703517599,0.10685398389079308,0.6806030150753769,0.1806030150753769,0.15401967120681684,peak_estimates_sigma0p5_R01p2.csv
1.4,0.5,20,1.4914572864321607,0.09145728643216078,0.1359338158196931,0.6126633165829146,0.11266331658291462,0.18935742488421595,peak_estimates_sigma0p5_R01p4.csv
1.6,0.5,20,1.6301507537688444,0.03015075376884435,0.1597376037928186,0.5009045226130653,0.0009045226130652839,0.13604890294128066,peak_estimates_sigma0p5_R01p6.csv
1.8,0.5,20,1.8849246231155778,0.0849246231155778,0.3103092437576084,0.5268341708542714,0.026834170854271422,0.15207237832053497,peak_estimates_sigma0p5_R01p8.csv
2.0,0.5,20,2.123869346733669,0.1238693467336689,0.20210802236463776,0.5240201005025128,0.024020100502512798,0.07342832724187326,peak_estimates_sigma0p5_R02p0.csv
2.2,0.5,20,2.227889447236181,0.02788944723618103,0.3554208253760313,0.47758793969849245,-0.022412060301507553,0.11035331001540555,peak_estimates_sigma0p5_R02p2.csv
2.4,0.5,20,2.4909547738693463,0.09095477386934636,0.24891316870246416,0.5121608040201006,0.012160804020100557,0.0728687173203727,peak_estimates_sigma0p5_R02p4.csv
2.6,0.5,20,2.634170854271357,0.0341708542713568,0.31422783673920307,0.4934673366834172,-0.00653266331658281,0.09575677048544814,peak_estimates_sigma0p5_R02p6.csv
2.8,0.5,20,2.8188442211055276,0.018844221105527748,0.35179459144558456,0.48783919597989966,-0.012160804020100335,0.09450859428884281,peak_estimates_sigma0p5_R02p8.csv
3.0,0.5,20,2.9334170854271364,-0.06658291457286358,0.3347410883825836,0.47015075376884435,-0.029849246231155646,0.083348292183566,peak_estimates_sigma0p5_R03p0.csv
1.2,0.6,20,1.2005025125628142,0.0005025125628141947,0.1151331669099116,0.7220100502512563,0.12201005025125633,0.13417918464679882,peak_estimates_sigma0p6_R01p2.csv
1.4,0.6,20,1.3753768844221106,-0.02462311557788932,0.14417543628049767,0.7137688442211056,0.11376884422110567,0.16620703419329008,peak_estimates_sigma0p6_R01p4.csv
1.6,0.6,20,1.6361809045226132,0.03618090452261313,0.15300618310854414,0.6450251256281408,0.04502512562814087,0.12397027217812774,peak_estimates_sigma0p6_R01p6.csv
1.8,0.6,20,1.8585427135678394,0.058542713567839355,0.3013279682141006,0.6118592964824121,0.01185929648241213,0.1335195533612315,peak_estimates_sigma0p6_R01p8.csv
2.0,0.6,20,2.1223618090452256,0.12236180904522564,0.31827766426079124,0.6404020100502512,0.040402010050251236,0.1135819283342771,peak_estimates_sigma0p6_R02p0.csv
2.2,0.6,20,2.339447236180905,0.1394472361809047,0.5183473782359422,0.601608040201005,0.0016080402010050232,0.134575592055644,peak_estimates_sigma0p6_R02p2.csv
2.4,0.6,20,2.5361809045226136,0.13618090452261367,0.5348969848938752,0.6004020100502514,0.00040201005025142234,0.1214211866742483,peak_estimates_sigma0p6_R02p4.csv
2.6,0.6,20,2.2180904522613067,-0.38190954773869334,0.3501698346976474,0.4735678391959799,-0.1264321608040201,0.11916608497108595,peak_estimates_sigma0p6_R02p6.csv
2.8,0.6,20,2.687688442211055,-0.11231155778894486,0.43786871323831045,0.5529648241206031,-0.04703517587939687,0.09806165870465902,peak_estimates_sigma0p6_R02p8.csv
3.0,0.6,20,2.921356783919598,-0.07864321608040203,0.5011520195898492,0.5587939698492463,-0.041206030150753636,0.10128129894003311,peak_estimates_sigma0p6_R03p0.csv
1.2,0.7,20,1.2095477386934672,0.009547738693467256,0.10200021319450604,0.7378894472361811,0.03788944723618115,0.13014594401898627,peak_estimates_sigma0p7_R01p2.csv
