TRUE_R0,TRUE_SIGMA,peak_R0,peak_sigma
2.8,0.6,3.4271356783919598,0.6824120603015076
2.8,0.6,2.4020100502512562,0.5095477386934674
2.8,0.6,2.100502512562814,0.3889447236180905
2.8,0.6,2.4472361809045227,0.4974874371859297
2.8,0.6,3.050251256281407,0.6582914572864322
2.8,0.6,3.351758793969849,0.6864321608040201
2.8,0.6,2.3115577889447234,0.47738693467336685
2.8,0.6,2.6130653266331656,0.5417085427135679
2.8,0.6,3.6231155778894473,0.7266331658291458
2.8,0.6,2.7939698492462313,0.577889447236181
2.8,0.6,3.0050251256281406,0.6301507537688442
2.8,0.6,2.417085427135678,0.5135678391959799
2.8,0.6,2.914572864321608,0.6301507537688442
2.8,0.6,2.2211055276381906,0.43316582914572865
2.8,0.6,2.085427135678392,0.37286432160804023
2.8,0.6,2.266331658291457,0.46934673366834173
2.8,0.6,2.748743718592965,0.5577889447236182
2.8,0.6,2.748743718592965,0.5738693467336684
2.8,0.6,2.567839195979899,0.5497487437185931
2.8,0.6,2.658291457286432,0.5819095477386935
