TRUE_R0,TRUE_SIGMA,peak_R0,peak_sigma
1.8,0.7,1.3467336683417086,0.521608040201005
1.8,0.7,1.7537688442211055,0.835175879396985
1.8,0.7,1.8592964824120601,0.8592964824120604
1.8,0.7,1.3165829145728642,0.8753768844221106
1.8,0.7,1.7989949748743719,0.7386934673366834
1.8,0.7,2.266331658291457,0.9195979899497488
1.8,0.7,1.8442211055276383,0.6381909547738693
1.8,0.7,1.6934673366834172,0.7507537688442212
1.8,0.7,1.9346733668341707,0.8231155778894472
1.8,0.7,1.678391959798995,0.6020100502512563
1.8,0.7,2.0552763819095476,0.8311557788944723
1.8,0.7,1.5728643216080402,0.7467336683417085
1.8,0.7,2.35678391959799,0.907537688442211
1.8,0.7,1.8743718592964824,0.8432160804020101
1.8,0.7,1.9949748743718594,0.7386934673366834
1.8,0.7,1.7386934673366834,0.6381909547738693
1.8,0.7,1.7386934673366834,0.6542713567839197
1.8,0.7,1.5879396984924623,0.6020100502512563
1.8,0.7,1.6180904522613067,0.6904522613065327
1.8,0.7,1.9949748743718594,0.835175879396985
