w1,w2,w3,w4,score,n_selected,threshold
0.8,0.7,0.9,0.1,0.46417934,49925,0.048938229471080855
0.8,0.8,0.9,0.1,0.46469113,49925,0.049017857908790735
0.7,0.6,0.8,0.1,0.4647384,49925,0.048863955170091025
0.7,0.7,0.8,0.1,0.46489623,49925,0.048949421689812235
0.7,0.6,0.9,0.1,0.4651063,49925,0.04865853467138894
0.6,0.6,0.7,0.1,0.46520448,49925,0.048870289365740616
0.6,0.6,0.8,0.1,0.4652251,49925,0.04864322336945891
0.7,0.7,0.9,0.1,0.4652916,49925,0.0487666076498611
0.6,0.7,0.8,0.1,0.4652954,49925,0.04873592840051524
0.6,0.5,0.7,0.1,0.46546388,49925,0.04875355461589638
0.9,0.8,0.9,0.1,0.46551448,49925,0.04916174000429302
0.9,0.9,0.9,0.1,0.46555534,49925,0.04920018567513575
0.7,0.8,0.9,0.1,0.46565816,49925,0.04883285361230333
0.7,0.6,0.7,0.1,0.4657257,49925,0.04905233311724568
0.8,0.7,0.8,0.1,0.46573535,49925,0.04911050096207691
0.5,0.5,0.6,0.1,0.4657795,49925,0.048747899869856566
0.8,0.7,0.9,0.2,0.46578297,49925,0.048644079672419446
0.8,0.8,0.8,0.1,0.46588996,49925,0.04916543493136649
0.9,0.7,0.9,0.1,0.46590897,49925,0.049059328838651356
0.4,0.4,0.5,0.1,0.46596014,49925,0.04856971596194406
0.8,0.9,0.9,0.1,0.46599442,49925,0.049050172217308084
0.7,0.8,0.8,0.1,0.46599758,49925,0.04899028149611068
0.6,0.6,0.9,0.1,0.46600994,49925,0.04842875953373375
0.7,0.7,0.7,0.1,0.46608114,49925,0.04911167911247706
0.6,0.5,0.8,0.1,0.46611992,49925,0.04851767536356145
0.8,0.9,0.8,0.1,0.46618295,49925,0.04917290123956579
0.5,0.5,0.5,0.1,0.4662208,49925,0.048971384909380106
0.6,0.6,0.6,0.1,0.466333,49925,0.04905244229220914
0.5,0.4,0.5,0.1,0.46634725,49925,0.048858222234759635
0.8,0.8,0.9,0.2,0.46634865,49925,0.048708752383957304
0.5,0.5,0.7,0.1,0.46634907,49925,0.0484970200910315
0.7,0.8,0.7,0.1,0.4663881,49925,0.04913855548835473
0.6,0.7,0.7,0.1,0.46640146,49925,0.04892285149744295
0.7,0.6,0.8,0.2,0.4664035,49925,0.0485239842600746
0.6,0.5,0.6,0.1,0.4664078,49925,0.048972513404952005
0.7,0.9,0.9,0.1,0.466439,49925,0.04884795970148475
0.9,0.8,0.8,0.1,0.46645796,49925,0.04926837851646594
0.7,0.7,0.8,0.2,0.46647847,49925,0.048614588183068554
0.9,0.9,0.9,0.2,0.46654093,49925,0.04890978874490753
0.6,0.8,0.9,0.1,0.46655104,49925,0.0485315671170492
0.5,0.4,0.6,0.1,0.4665679,49925,0.04858069571574735
0.8,0.6,0.8,0.1,0.46658984,49925,0.04898500572567431
0.6,0.8,0.8,0.1,0.46661302,49925,0.0487402473963388
0.8,0.6,0.9,0.1,0.46662903,49925,0.04880538263578746
0.9,0.8,0.9,0.2,0.46662965,49925,0.048864699479449214
0.9,0.9,0.8,0.1,0.46664292,49925,0.0493285075960157
0.8,0.7,0.8,0.2,0.46665615,49925,0.04878857056806774
0.6,0.7,0.6,0.1,0.4666795,49925,0.04909752784234344
0.5,0.6,0.6,0.1,0.46680555,49925,0.048820188208833555
0.9,0.7,0.9,0.2,0.46682468,49925,0.04878058977445573
0.9,0.7,0.8,0.1,0.46683535,49925,0.049206257437210445
0.7,0.8,0.9,0.2,0.46683916,49925,0.04852689714659252
0.8,0.7,0.7,0.1,0.46684813,49925,0.049250140810654285
0.5,0.6,0.7,0.1,0.4668568,49925,0.04858736004961494
0.7,0.7,0.9,0.2,0.46686697,49925,0.048447887288282976
0.6,0.6,0.7,0.2,0.46689555,49925,0.04848847075823638
0.7,0.6,0.7,0.2,0.46692166,49925,0.0486898294061299
0.9,0.8,0.9,0.3,0.46692908,49925,0.04860030143418412
0.6,0.7,0.9,0.1,0.46693844,49925,0.04850338571989768
0.4,0.4,0.4,0.1,0.46698448,49925,0.048842487355467507
0.8,0.8,0.8,0.2,0.46698448,49925,0.048842487355467507
0.8,0.8,0.7,0.1,0.4670039,49925,0.04930201789161156
0.6,0.5,0.9,0.1,0.4670046,49925,0.048253923854271984
0.5,0.6,0.5,0.1,0.4670423,49925,0.04899940665733742
0.6,0.6,0.8,0.2,0.46705896,49925,0.04829792069375957
0.3,0.3,0.4,0.1,0.46705896,49925,0.04829792069375957
0.7,0.6,0.6,0.1,0.46710438,49925,0.049207359295841704
0.7,0.5,0.7,0.1,0.4671784,49925,0.048895454066734526
0.8,0.9,0.8,0.2,0.46720612,49925,0.048890700273638
0.7,0.7,0.7,0.2,0.46722645,49925,0.04875776699081208
0.5,0.5,0.8,0.1,0.46727568,49925,0.04819059983477277
0.7,0.6,0.9,0.2,0.46728823,49925,0.04834601368577038
0.5,0.7,0.7,0.1,0.46731135,49925,0.04859744753665459
0.6,0.5,0.7,0.2,0.4673289,49925,0.04837634486464056
0.8,0.8,0.9,0.3,0.46734118,49925,0.04845035539728384
0.5,0.6,0.8,0.1,0.46735045,49925,0.04832546036663599
0.7,0.9,0.8,0.1,0.4673604,49925,0.04898136650027628
0.8,0.6,0.9,0.2,0.46738902,49925,0.0485224885099289
0.7,0.5,0.9,0.1,0.46739414,49925,0.04847113794530764
0.8,0.9,0.9,0.2,0.46739888,49925,0.048763267107631535
0.4,0.5,0.6,0.1,0.46743742,49925,0.04836157234342232
0.6,0.5,0.5,0.1,0.46746525,49925,0.049169612692688325
0.5,0.7,0.8,0.1,0.4674877,49925,0.04835162360536406
0.9,0.9,0.9,0.3,0.46750855,49925,0.04863705311520547
0.3,0.3,0.3,0.1,0.46750855,49925,0.048637053115205484
0.6,0.6,0.6,0.2,0.46750855,49925,0.048637053115205484
0.7,0.9,0.7,0.1,0.46752816,49925,0.04910678845118618
0.7,0.5,0.8,0.1,0.46753523,49925,0.04870803750340825
0.8,0.7,0.9,0.3,0.46754903,49925,0.04834243554059185
0.6,0.7,0.8,0.2,0.46756163,49925,0.048370655607646376
0.7,0.8,0.8,0.2,0.46759248,49925,0.048668567804769636
0.4,0.3,0.5,0.1,0.4676124,49925,0.04836354002013885
0.7,0.8,0.7,0.2,0.46762007,49925,0.0488154615638614
0.6,0.8,0.7,0.1,0.46764824,49925,0.04888655804698099
0.5,0.6,0.9,0.1,0.46765876,49925,0.048039405419398044
0.6,0.9,0.9,0.1,0.46766037,49925,0.04853777844306692
0.4,0.4,0.6,0.1,0.46766332,49925,0.0482402531088459
0.5,0.4,0.7,0.1,0.4676649,49925,0.048293855298086504
0.7,0.9,0.8,0.2,0.46767467,49925,0.0486858331523391
