TRUE_R0,TRUE_SIGMA,peak_R0,peak_sigma
2.6,0.5,2.4472361809045227,0.44924623115577894
2.6,0.5,2.7336683417085426,0.5095477386934674
2.6,0.5,3.050251256281407,0.6020100502512563
2.6,0.5,2.8844221105527637,0.5698492462311558
2.6,0.5,2.5829145728643215,0.4733668341708543
2.6,0.5,2.5527638190954773,0.47738693467336685
2.6,0.5,3.1105527638190953,0.6100502512562815
2.6,0.5,2.9748743718592965,0.5979899497487438
2.6,0.5,3.065326633165829,0.6100502512562815
2.6,0.5,2.3115577889447234,0.3889447236180905
2.6,0.5,2.5527638190954773,0.4894472361809046
2.6,0.5,2.492462311557789,0.485427135678392
2.6,0.5,2.7638190954773867,0.5336683417085428
2.6,0.5,2.522613065326633,0.485427135678392
2.6,0.5,2.5376884422110555,0.48140703517587946
2.6,0.5,2.64321608040201,0.5175879396984925
2.6,0.5,2.0251256281407035,0.2804020100502513
2.6,0.5,2.100502512562814,0.2884422110552764
2.6,0.5,2.3266331658291457,0.42512562814070354
2.6,0.5,3.0050251256281406,0.5939698492462312
