w1,w2,w3,w4,score,n_selected,threshold
0.1,0.9,0.7,0.9,0.5041968,49925,0.0467745746293906
0.1,0.9,0.9,0.9,0.50425065,49925,0.046606268367509654
0.1,0.9,0.8,0.9,0.5043441,49925,0.04669947752282046
0.1,0.9,0.6,0.9,0.50523746,49925,0.046774503386333044
0.1,0.8,0.7,0.9,0.50541216,49925,0.04696551555452001
0.1,0.8,0.9,0.9,0.5055458,49925,0.04673318455394189
0.1,0.8,0.8,0.9,0.5055959,49925,0.04686261699176718
0.1,0.8,0.6,0.9,0.5059225,49925,0.04700777494698846
0.1,0.9,0.5,0.9,0.50609803,49925,0.04671948298589367
0.1,0.7,0.9,0.9,0.50611085,49925,0.0468307319114682
0.1,0.9,0.8,0.8,0.5064438,49925,0.046914209750762076
0.1,0.9,0.7,0.8,0.50653845,49925,0.04701653289779385
0.1,0.7,0.8,0.9,0.50662386,49925,0.04698138921085677
0.1,0.9,0.6,0.8,0.5068199,49925,0.047072987011886634
0.1,0.9,0.9,0.8,0.50685024,49925,0.04680958593653021
0.1,0.8,0.7,0.8,0.5069912,49925,0.04724882257257249
0.1,0.8,0.5,0.9,0.50704217,49925,0.046986603363481386
0.1,0.7,0.7,0.9,0.5074229,49925,0.04711673503986209
0.9,0.1,0.9,0.1,0.5076642,49925,0.05140951103963761
0.1,0.8,0.8,0.8,0.5076931,49925,0.04710559558086997
0.1,0.6,0.7,0.9,0.5077229,49925,0.04722146763588479
0.1,0.7,0.6,0.9,0.50777227,49925,0.04719871271514061
0.1,0.8,0.6,0.8,0.50779843,49925,0.04731804939045407
0.1,0.6,0.8,0.9,0.50791955,49925,0.047080228980121146
0.1,0.9,0.5,0.8,0.5079314,49925,0.04704892546966231
0.1,0.8,0.9,0.8,0.5080295,49925,0.04695140831371704
0.1,0.6,0.9,0.9,0.50820076,49925,0.046888650822950684
0.1,0.9,0.4,0.9,0.50823295,49925,0.04663332513072834
0.1,0.7,0.5,0.9,0.5083065,49925,0.04720784692711837
0.1,0.6,0.6,0.9,0.50860775,49925,0.04734887138038254
0.1,0.7,0.8,0.8,0.50875926,49925,0.04727904505917496
0.1,0.7,0.9,0.8,0.50878584,49925,0.04708812471863048
0.1,0.5,0.7,0.9,0.50893945,49925,0.04732512633611355
