TRUE_R0,TRUE_SIGMA,peak_R0,peak_sigma
2.8,0.9,2.899497487437186,0.9035175879396986
2.8,0.9,2.522613065326633,0.8592964824120604
2.8,0.9,2.3115577889447234,0.8753768844221106
2.8,0.9,3.020100502512563,0.9477386934673369
2.8,0.9,2.2814070351758793,0.9396984924623117
2.8,0.9,2.959798994974874,0.907537688442211
2.8,0.9,2.507537688442211,0.9477386934673369
2.8,0.9,2.417085427135678,0.9316582914572866
2.8,0.9,2.6130653266331656,0.9195979899497488
2.8,0.9,3.050251256281407,0.8954773869346735
2.8,0.9,2.5829145728643215,0.9597989949748744
2.8,0.9,2.899497487437186,0.8874371859296484
2.8,0.9,2.8241206030150754,0.8673366834170855
2.8,0.9,2.4020100502512562,0.8914572864321608
2.8,0.9,2.778894472361809,0.9115577889447237
2.8,0.9,2.748743718592965,0.955778894472362
2.8,0.9,3.0954773869346734,0.9477386934673369
2.8,0.9,2.35678391959799,0.8271356783919599
2.8,0.9,2.5527638190954773,0.9638190954773871
2.8,0.9,2.658291457286432,0.9477386934673369
