w1,w2,w3,w4,score,n_selected,threshold
0.9,0.9,0.1,0.4,0.15435876,49925,0.04064380815120524
0.9,0.9,0.1,0.5,0.15460867,49925,0.04171088642549841
0.9,0.8,0.1,0.4,0.15463997,49925,0.04107012895312428
0.9,0.9,0.1,0.3,0.15464935,49925,0.03934689858427837
0.8,0.9,0.1,0.4,0.15483867,49925,0.04127537696473182
0.9,0.8,0.1,0.3,0.1548556,49925,0.03981729520497779
0.8,0.9,0.1,0.3,0.15504155,49925,0.04002056177609278
0.9,0.9,0.1,0.6,0.15505451,49925,0.0425717677988803
0.9,0.7,0.1,0.4,0.15512307,49925,0.04149459810633015
0.9,0.7,0.1,0.3,0.15524806,49925,0.040272189875687835
0.8,0.8,0.1,0.4,0.15527023,49925,0.041713912299719075
0.9,0.8,0.1,0.5,0.15527113,49925,0.04209313663254393
0.8,0.9,0.1,0.5,0.15534067,49925,0.04231310313893381
0.8,0.8,0.1,0.3,0.15539615,49925,0.040507032096413195
0.7,0.9,0.1,0.4,0.15555489,49925,0.04194105065409272
0.9,0.6,0.1,0.3,0.15557688,49925,0.040722963535378694
0.7,0.9,0.1,0.3,0.1556965,49925,0.040711615401396416
0.9,0.8,0.1,0.6,0.15572289,49925,0.04291840724405626
0.9,0.5,0.1,0.3,0.15574199,49925,0.04120285230333964
0.8,0.9,0.1,0.6,0.15574938,49925,0.04314081597027355
0.9,0.7,0.1,0.5,0.15575153,49925,0.04249087327651959
0.8,0.7,0.1,0.3,0.15575343,49925,0.04098645749645768
0.9,0.6,0.1,0.4,0.1558319,49925,0.04196484379091944
0.9,0.9,0.1,0.7,0.15585348,49925,0.04315348084656822
0.8,0.8,0.1,0.5,0.15587571,49925,0.042729994314029025
0.7,0.9,0.1,0.5,0.15590814,49925,0.04295697408957727
0.8,0.7,0.1,0.4,0.15595342,49925,0.04221759196668948
0.9,0.5,0.1,0.4,0.15597591,49925,0.04236350107212338
0.9,0.8,0.1,0.2,0.15598258,49925,0.03827031343271404
0.9,0.9,0.1,0.2,0.15599172,49925,0.03779648837221127
0.7,0.8,0.1,0.3,0.15603904,49925,0.04122746094604399
0.7,0.8,0.1,0.4,0.15605295,49925,0.04244728148313865
0.8,0.6,0.1,0.3,0.15607107,49925,0.041522530623000264
0.6,0.9,0.1,0.4,0.15613388,49925,0.04265546561434934
0.9,0.6,0.1,0.5,0.15616754,49925,0.0428792751005499
0.9,0.7,0.1,0.6,0.15618333,49925,0.04327404200302247
0.7,0.7,0.1,0.3,0.15628651,49925,0.041765176677818414
0.8,0.9,0.1,0.7,0.15629971,49925,0.04371447305917865
0.6,0.9,0.1,0.3,0.156302,49925,0.041464531891604164
0.9,0.7,0.1,0.2,0.1563182,49925,0.038703759314050304
0.9,0.8,0.1,0.7,0.15635395,49925,0.043492421884687306
0.9,0.9,0.1,0.8,0.15638533,49944,0.043667752694816736
0.8,0.7,0.1,0.5,0.15638591,49925,0.04314088330206475
0.9,0.4,0.1,0.3,0.15639296,49925,0.0416089788875292
0.8,0.9,0.1,0.2,0.15639588,49925,0.03846459499937721
0.9,0.6,0.1,0.2,0.15640508,49925,0.039176426140278185
0.7,0.9,0.1,0.6,0.15641345,49925,0.043740766958637635
0.8,0.8,0.1,0.6,0.15642948,49925,0.043519271690621246
0.8,0.6,0.1,0.4,0.15647247,49925,0.04267285157214082
0.8,0.5,0.1,0.3,0.1564762,49925,0.04196622842740776
0.8,0.8,0.1,0.2,0.1564964,49925,0.038978126776827354
0.6,0.8,0.1,0.3,0.1565641,49929,0.042008597999791654
0.7,0.8,0.1,0.5,0.15657014,49925,0.04338404018530271
0.9,0.5,0.1,0.2,0.15658069,49925,0.03973937580304232
0.7,0.7,0.1,0.4,0.15674138,49925,0.042961461350846865
0.8,0.7,0.1,0.2,0.15674627,49925,0.0394541818643164
0.6,0.8,0.1,0.4,0.15678196,49925,0.04322426917394664
0.7,0.9,0.1,0.2,0.15678589,49925,0.039192189376882534
0.6,0.9,0.1,0.5,0.15682292,49925,0.043622067553991305
0.8,0.5,0.1,0.4,0.15683027,49925,0.04310037531365988
0.7,0.6,0.1,0.3,0.15684323,49925,0.042304844961126166
0.8,0.6,0.1,0.2,0.15686879,49926,0.040042690736829104
0.5,0.9,0.1,0.3,0.15692149,49925,0.042268236226146165
0.5,0.9,0.1,0.4,0.15695626,49925,0.04344401020540354
0.9,0.4,0.1,0.2,0.15696222,49925,0.04023229553922367
0.8,0.7,0.1,0.6,0.15696904,49925,0.043879821840309315
0.9,0.4,0.1,0.4,0.1570297,49925,0.04279156682616013
0.7,0.8,0.1,0.6,0.15703437,49925,0.044152066282133286
0.8,0.6,0.1,0.5,0.1570471,49925,0.04358340009883909
0.7,0.8,0.1,0.2,0.15707621,49925,0.039711207113056465
0.7,0.7,0.1,0.5,0.1570886,49925,0.043857034172099185
0.7,0.6,0.1,0.4,0.15712036,49925,0.04341859903889662
0.9,0.6,0.1,0.6,0.15712745,49925,0.043601192765612404
0.6,0.7,0.1,0.3,0.1571281,49925,0.04261770321789544
0.8,0.5,0.1,0.2,0.15714645,49925,0.040590011418562034
0.8,0.8,0.1,0.7,0.15719703,49925,0.044112610436115314
0.7,0.6,0.1,0.2,0.15720522,49925,0.04090967171445256
0.8,0.9,0.1,0.8,0.1572394,49925,0.044213522333903486
0.7,0.7,0.1,0.2,0.15725178,49925,0.04031424766782385
0.7,0.9,0.1,0.7,0.1572529,50003,0.04431577484859605
0.9,0.7,0.1,0.7,0.15727389,49925,0.04390486239443302
0.8,0.4,0.1,0.3,0.15727776,49925,0.04246487464943808
0.6,0.9,0.1,0.6,0.15728253,49925,0.04440164356980398
0.6,0.8,0.1,0.5,0.15733957,49925,0.04409640269716592
0.9,0.5,0.1,0.5,0.15734565,49925,0.04327042384312443
0.9,0.8,0.1,0.8,0.15736912,49925,0.043997913135717444
0.6,0.9,0.1,0.2,0.15737714,49925,0.03993364599749533
0.6,0.7,0.1,0.4,0.15744439,49925,0.043720832110049
0.7,0.5,0.1,0.3,0.15745349,49925,0.042817620829076815
0.6,0.8,0.1,0.2,0.15746282,49925,0.040505235162661635
0.5,0.8,0.1,0.3,0.15752248,49925,0.04288127504278898
0.5,0.9,0.1,0.5,0.15753394,49925,0.04432812011248923
0.9,0.3,0.1,0.3,0.15755938,49925,0.04203862662814981
0.8,0.4,0.1,0.2,0.1576023,49925,0.04117091316817963
0.6,0.7,0.1,0.2,0.15763174,49925,0.04120277378350891
0.6,0.6,0.1,0.3,0.15765192,49925,0.04315385482393446
0.9,0.9,0.1,0.9,0.15766057,49925,0.04386041502891778
0.9,0.3,0.1,0.2,0.15771559,49925,0.04078487636675782
0.5,0.8,0.1,0.4,0.1577251,49925,0.04401191934717862
0.7,0.5,0.1,0.2,0.15777385,49925,0.04151401880044652
0.4,0.9,0.1,0.4,0.15783152,49925,0.04426644452488155
0.7,0.5,0.1,0.4,0.15786698,49925,0.043930819148222326
0.7,0.6,0.1,0.5,0.15790151,49925,0.044295487687227644
0.7,0.7,0.1,0.6,0.15793282,49925,0.044522613492170036
0.4,0.9,0.1,0.3,0.15793675,49925,0.0431200218397656
0.5,0.9,0.1,0.2,0.15795201,49925,0.040748571069080086
