1.000000000000000000e+01,1.356521739130434696e+02,6.949271295718853025e+01,9.260869565217390686e+00,5.200000000000000000e+01,-3.445655034173769060e-01,8.384321915612948928e+00,2.130000000000000071e+01,1.004926108374384341e+00,4.926108374384237376e-03,5.652173913043478937e-01
7.000000000000000000e+00,1.216521739130434838e+02,6.271552562284875165e+01,6.869565217391304657e+00,4.600000000000000000e+01,-2.754005350893332649e-01,6.853771147624827975e+00,2.257142857142857295e+01,1.019867549668874274e+00,3.293598233995585767e-02,1.185770750988142525e-01
1.100000000000000000e+01,1.588260869565217490e+02,7.934312834650695834e+01,1.091304347826086918e+01,4.600000000000000000e+01,-3.556714565191724242e-01,9.928551228123446037e+00,2.281818181818181657e+01,1.008333333333333304e+00,8.298465829846583472e-03,8.300395256916996700e-02
1.100000000000000000e+01,1.565217391304347814e+02,8.188510218882495906e+01,1.013043478260869534e+01,5.000000000000000000e+01,-3.606830416936606110e-01,9.485516657710514110e+00,2.118181818181818343e+01,1.031531531531531432e+00,3.972524560759854023e-02,2.094861660079050114e-01
1.000000000000000000e+01,1.344347826086956559e+02,6.698631209362953598e+01,9.782608695652173836e+00,4.600000000000000000e+01,-3.410599992347804754e-01,9.393530048887306805e+00,2.250000000000000000e+01,1.018604651162790642e+00,1.834383829602261040e-02,2.687747035573122001e-01
8.000000000000000000e+00,8.534782608695651618e+01,4.285451996491063653e+01,7.739130434782608425e+00,3.300000000000000000e+01,-3.023322722349952585e-01,7.528747361013371275e+00,2.225000000000000000e+01,1.017647058823529349e+00,1.743821789070658032e-02,2.924901185770749645e-01
7.000000000000000000e+00,9.086956521739129755e+01,4.594987817554934395e+01,6.913043478260869179e+00,4.800000000000000000e+01,-2.787435862067245140e-01,6.468431283075446458e+00,2.271428571428571530e+01,1.013157894736842035e+00,1.307075636110142935e-02,8.300395256916996700e-02
8.000000000000000000e+00,1.314782608695652186e+02,6.566573034918967267e+01,7.913043478260869179e+00,5.300000000000000000e+01,-3.024417944933555091e-01,7.346766364273452865e+00,2.275000000000000000e+01,1.005747126436781658e+00,5.747126436781609116e-03,8.300395256916996700e-02
9.000000000000000000e+00,1.495652173913043441e+02,7.698572836273942244e+01,8.826086956521738358e+00,5.800000000000000000e+01,-3.221910650690417155e-01,8.670086772983115253e+00,2.255555555555555713e+01,1.015463917525773141e+00,1.530366967576518231e-02,2.411067193675889564e-01
1.100000000000000000e+01,1.912608695652174049e+02,9.485070440688470228e+01,1.069565217391304301e+01,5.500000000000000000e+01,-3.581046649587796282e-01,9.296591551244940632e+00,2.236363636363636331e+01,1.012765957446808418e+00,1.265684669939990022e-02,2.213438735177865324e-01
1.100000000000000000e+01,1.721739130434782510e+02,8.611812826467070181e+01,1.082608695652173836e+01,4.400000000000000000e+01,-3.543859358375445190e-01,1.073531546583765817e+01,2.263636363636363669e+01,1.004201680672268893e+00,4.201680672268907381e-03,3.320158102766798680e-01
1.100000000000000000e+01,1.488695652173913118e+02,7.972070812748607693e+01,1.082608695652173836e+01,4.700000000000000000e+01,-3.535900798684201152e-01,1.078064619386551826e+01,2.263636363636363669e+01,1.008403361344537785e+00,8.367904123674788086e-03,1.501976284584980448e-01
1.100000000000000000e+01,1.453478260869565304e+02,7.493488609553094193e+01,1.078260869565217384e+01,5.100000000000000000e+01,-3.558690231737258736e-01,1.054094552673092444e+01,2.254545454545454675e+01,1.012658227848101333e+00,1.255095473074447493e-02,3.596837944664031395e-01
9.000000000000000000e+00,1.363478260869565304e+02,6.865103369125239396e+01,8.869565217391304657e+00,4.900000000000000000e+01,-3.235918316116670468e-01,8.410103045866787141e+00,2.266666666666666785e+01,1.005128205128205110e+00,5.128205128205129068e-03,2.094861660079050114e-01
9.000000000000000000e+00,1.136956521739130466e+02,5.819905871045174450e+01,8.173913043478261642e+00,4.500000000000000000e+01,-3.287130390215192710e-01,7.426894802832724629e+00,2.088888888888888928e+01,1.005586592178770999e+00,5.586592178770948165e-03,2.411067193675889564e-01
8.000000000000000000e+00,1.459565217391304373e+02,7.735189852572202085e+01,7.869565217391304657e+00,6.100000000000000000e+01,-3.017754261050971110e-01,7.246165660941903397e+00,2.262500000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.094861660079050114e-01
1.000000000000000000e+01,1.367826086956521863e+02,6.985306430562209812e+01,9.739130434782609314e+00,4.200000000000000000e+01,-3.424510253423951878e-01,9.094257315080177762e+00,2.239999999999999858e+01,1.023364485981308469e+00,3.231538765302092997e-02,2.015810276679841917e-01
1.000000000000000000e+01,1.310434782608695627e+02,6.816789317617973154e+01,9.782608695652173836e+00,4.800000000000000000e+01,-3.417156464645789149e-01,9.471798990362550796e+00,2.250000000000000000e+01,1.018604651162790642e+00,2.768963268854598286e-02,2.687747035573121446e-01
1.000000000000000000e+01,1.608695652173913118e+02,7.820794213785922011e+01,9.782608695652173836e+00,5.500000000000000000e+01,-3.428723919649731555e-01,8.721165855274895407e+00,2.250000000000000000e+01,1.018604651162790642e+00,2.768963268854597592e-02,1.778656126482213995e-01
7.000000000000000000e+00,1.131739130434782652e+02,5.485157839273099256e+01,6.869565217391304657e+00,5.200000000000000000e+01,-2.773215096432535831e-01,6.377655156828218708e+00,2.257142857142857295e+01,1.019867549668874274e+00,3.293598233995584379e-02,2.094861660079050114e-01
9.000000000000000000e+00,1.210434782608695627e+02,6.457868932259701467e+01,8.826086956521738358e+00,4.300000000000000000e+01,-3.222021622351384784e-01,8.525893924154823722e+00,2.255555555555555713e+01,1.020618556701030855e+00,2.029806100101491304e-02,2.411067193675889564e-01
