clean_id,original_id,R0,sigma,distance,avg_prev_obs,var_prev_obs,avg_npmi_obs,div_all_isolates_obs,avg_prev_obs_diff,avg_prev_obs_diff_pct,var_prev_obs_diff,var_prev_obs_diff_pct,avg_npmi_obs_diff,avg_npmi_obs_diff_pct,div_all_isolates_obs_diff,div_all_isolates_obs_diff_pct
Observation,N/A,,,,9.565217391304348,7.06351758208409,-0.595276743372485,18.333333333333332,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
125516,125598,1.055655,0.92125946,0.0524390378954407,0.391304347826087,0.6563764465043608,-0.3069866026443504,18.0,-9.17391304347826,-95.9090909090909,-6.40714113557973,-90.7075130927798,0.28829014072813464,-48.42959916338301,-0.33333333333333215,-1.818181818181812
479082,479398,1.1274637,0.93100303,0.0538272169475766,0.4782608695652174,0.7902568752334618,-0.34843205574912894,13.75,-9.08695652173913,-95.0,-6.273260706850628,-88.81213409537098,0.2468446876233561,-41.46721510148044,-4.583333333333332,-24.999999999999993
114075,114151,1.2288684,0.9019306,0.0558135947046484,0.43478260869565216,0.5897678246195885,-0.30696983739333794,15.0,-9.130434782608695,-95.45454545454545,-6.4737497574645015,-91.65050815311233,0.2883069059791471,-48.43241554268879,-3.333333333333332,-18.181818181818176
80433,80488,1.1075677,0.9118223,0.0559677742868044,0.43478260869565216,0.66237087637185,-0.30464695702167705,15.0,-9.130434782608695,-95.45454545454545,-6.40114670571224,-90.62264843720517,0.290629786350808,-48.822634108678926,-3.333333333333332,-18.181818181818176
302555,302743,1.4852421,0.8113909,0.0586835678999212,7.043478260869565,5.243855806123488,-0.4542148217139691,8.8234100135318,-2.5217391304347823,-26.36363636363636,-1.8196617759606024,-25.761410725103783,0.14106192165851594,-23.696864228113927,-9.509923319801532,-51.87230901709927
95410,95475,1.8968358,0.93077475,0.0545443228856256,17.782608695652176,12.045204710661382,-0.49882946317951027,10.131876138433515,8.217391304347828,85.90909090909093,4.981687128577292,70.52700118157624,0.09644728019297477,-16.20209108902217,-8.201457194899817,-44.73522106308992
162873,162977,2.0013216,0.9436377,0.0568483885130092,16.73913043478261,11.635437216086304,-0.45808423825401345,9.845498135322323,7.173913043478262,75.00000000000001,4.571919634002214,64.72581940757722,0.13719250511847159,-23.04684445443311,-8.487835198011009,-46.29728289824187
360406,360642,1.834662,0.9157262,0.0577630046426641,18.26086956521739,9.521351084915073,-0.4559882218670356,9.46739832149774,8.695652173913043,90.9090909090909,2.457833502830983,34.796168824793945,0.13928852150544946,-23.398952345479394,-8.865935011835592,-48.35964551910323
395833,396091,2.2261314,0.9232334,0.0581458659056634,24.869565217391305,14.38845606672897,-0.5332466950123642,11.07685003052296,15.304347826086957,160.0,7.32493848464488,103.70100165424458,0.062030048360120826,-10.42037154159515,-7.256483302810372,-39.5808180153293
60592,60632,1.9145472,0.91609716,0.0586176351282617,22.043478260869566,13.719522456801759,-0.5286371596415647,10.166521360069748,12.478260869565219,130.45454545454547,6.656004874717668,94.23073981722595,0.06663958373092038,-11.194723206114187,-8.166811973263584,-44.54624712689228
