ID,R0,sigma,distance,avg_prev_obs,var_prev_obs,avg_npmi_obs,div_all_isolates_obs,avg_prev_obs_diff,avg_prev_obs_diff_pct,var_prev_obs_diff,var_prev_obs_diff_pct,avg_npmi_obs_diff,avg_npmi_obs_diff_pct,div_all_isolates_obs_diff,div_all_isolates_obs_diff_pct
Observation,,,,9.565217391304348,7.06351758208409,-0.595276743372485,18.333333333333332,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
125598,3.3345692,0.5414081,0.257946399343257,0.391304347826087,0.6563764465043608,-0.3069866026443504,18.0,-9.17391304347826,-95.9090909090909,-6.40714113557973,-90.7075130927798,0.28829014072813464,-48.42959916338301,-0.33333333333333215,-1.818181818181812
479398,5.11593,0.80527323,0.1603155032124862,0.4782608695652174,0.7902568752334618,-0.34843205574912894,13.75,-9.08695652173913,-95.0,-6.273260706850628,-88.81213409537098,0.2468446876233561,-41.46721510148044,-4.583333333333332,-24.999999999999993
114151,3.2198606,0.39096832,0.3429799503186311,0.43478260869565216,0.5897678246195885,-0.30696983739333794,15.0,-9.130434782608695,-95.45454545454545,-6.4737497574645015,-91.65050815311233,0.2883069059791471,-48.43241554268879,-3.333333333333332,-18.181818181818176
80488,1.4436457,0.28393334,0.1059457248293038,0.43478260869565216,0.66237087637185,-0.30464695702167705,15.0,-9.130434782608695,-95.45454545454545,-6.40114670571224,-90.62264843720517,0.290629786350808,-48.822634108678926,-3.333333333333332,-18.181818181818176
302743,3.7178292,0.3478113,0.4379033248098792,7.043478260869565,5.243855806123488,-0.4542148217139691,8.8234100135318,-2.5217391304347823,-26.36363636363636,-1.8196617759606024,-25.761410725103783,0.14106192165851594,-23.696864228113927,-9.509923319801532,-51.87230901709927
95475,7.48716,0.29449508,0.8354790484013809,17.782608695652176,12.045204710661382,-0.49882946317951027,10.131876138433515,8.217391304347828,85.90909090909093,4.981687128577292,70.52700118157624,0.09644728019297477,-16.20209108902217,-8.201457194899817,-44.73522106308992
162977,5.4923954,0.309549,0.6542779186587817,16.73913043478261,11.635437216086304,-0.45808423825401345,9.845498135322323,7.173913043478262,75.00000000000001,4.571919634002214,64.72581940757722,0.13719250511847159,-23.04684445443311,-8.487835198011009,-46.29728289824187
360642,5.6971684,0.92869186,0.1752914293745429,18.26086956521739,9.521351084915073,-0.4559882218670356,9.46739832149774,8.695652173913043,90.9090909090909,2.457833502830983,34.796168824793945,0.13928852150544946,-23.398952345479394,-8.865935011835592,-48.35964551910323
396091,3.4674728,0.36077067,0.3851830386248472,24.869565217391305,14.38845606672897,-0.5332466950123642,11.07685003052296,15.304347826086957,160.0,7.32493848464488,103.70100165424458,0.062030048360120826,-10.42037154159515,-7.256483302810372,-39.5808180153293
60632,2.3675897,0.895451,0.1289360937512179,22.043478260869566,13.719522456801759,-0.5286371596415647,10.166521360069748,12.478260869565219,130.45454545454547,6.656004874717668,94.23073981722595,0.06663958373092038,-11.194723206114187,-8.166811973263584,-44.54624712689228
