R0,sigma,avg_prev_obs,var_prev_obs,avg_npmi_obs,div_all_isolates_obs
1.5,0.4,18.565217391304348,10.188344887247485,-0.4381049011110951,5.555956017104459
2.0,0.4,47.17391304347826,27.781046799298657,-0.2544665937796264,4.027297443518398
2.5,0.4,95.52173913043478,48.66011019418958,-0.44312095158844206,10.860861735176265
3.0,0.4,126.69565217391305,64.71787359034083,-0.40761135203851223,14.35892916348086
3.5,0.4,148.1304347826087,74.92378208906464,-0.40776579673575036,12.191250722277669
4.0,0.4,177.34782608695653,88.211321008985,-0.3688156195844521,15.562118762676725
4.5,0.4,195.0,101.50190325130049,-0.33263505229062695,16.48642932328608
5.0,0.4,221.0,112.1160113453917,-0.31779173904856384,16.403917106000126
1.5,0.5,7.043478260869565,4.714371266954666,-0.22930959770956755,2.1829594911282224
2.0,0.5,36.65217391304348,18.35906685995722,-0.34396254414322947,5.353309400265476
2.5,0.5,74.78260869565217,40.329277118309165,-0.3714132913876237,9.563282336578581
3.0,0.5,102.8695652173913,53.44351678329195,-0.40986868650794167,11.232560753817062
3.5,0.5,126.08695652173913,61.16662268938263,-0.4331455201661235,11.457061401596093
4.0,0.5,154.52173913043478,79.70791540779452,-0.3868036620143354,16.05472460967299
4.5,0.5,174.91304347826087,87.60703222265698,-0.34656069093179437,16.112222401462603
5.0,0.5,192.95652173913044,96.77926067315603,-0.36994224866957665,15.686563573445158
1.5,0.6,12.391304347826088,9.912063955489165,-0.34299726716696394,4.919168591224018
2.0,0.6,27.17391304347826,17.670345404642422,-0.39818816610992697,5.033167281831557
2.5,0.6,41.56521739130435,20.812640579828845,-0.4693810548192442,5.8801782769991755
3.0,0.6,83.0,43.18248803308203,-0.4163823380610771,11.95066670166413
3.5,0.6,111.17391304347827,57.77358013196708,-0.40200960307019135,15.903474790733892
4.0,0.6,136.2173913043478,64.07875589087026,-0.38683102351232096,14.222827126780652
4.5,0.6,147.34782608695653,71.6313851322755,-0.3730280840116041,15.861738750835778
5.0,0.6,175.8695652173913,88.84168981847638,-0.33864134533228435,16.73686924599074
1.5,0.7,7.086956521739131,4.766483776216258,-0.26799986577068013,4.0351466992665035
2.0,0.7,31.782608695652176,20.198912035820893,-0.47262851919693877,8.6077684937252
2.5,0.7,33.608695652173914,16.935007127343113,-0.457906383738314,6.503869041131722
3.0,0.7,68.52173913043478,37.045266616075615,-0.4326361600517109,9.96859462976201
3.5,0.7,91.78260869565217,47.502111457127626,-0.4897998982365846,12.763510802911341
4.0,0.7,106.1304347826087,54.06755399735516,-0.44073855630074393,13.471363367003976
4.5,0.7,126.69565217391305,64.06419705165686,-0.3757759150734081,16.198342092306987
5.0,0.7,144.17391304347825,81.49157913769821,-0.4455636348705038,15.302058827623648
1.5,0.8,8.043478260869565,5.935090264072463,-0.4139364092208438,3.929808358346802
2.0,0.8,22.565217391304348,17.678507976319004,-0.4028475937727573,6.654834397742462
2.5,0.8,26.652173913043477,26.818597169691735,-0.5024293765054747,6.562342569269521
3.0,0.8,36.21739130434783,29.282257305156232,-0.3464371378396755,6.083280668492381
3.5,0.8,56.21739130434783,35.243254056936046,-0.48419713211206095,10.39730631348337
4.0,0.8,67.82608695652173,41.682405459632314,-0.456517371130731,10.294959278010126
4.5,0.8,74.69565217391305,43.24290249972579,-0.494043690552622,9.1896558169674
5.0,0.8,107.91304347826087,58.659970123259185,-0.4647198399258374,15.385296895378296
