R0,sigma,avg_prev_obs,var_prev_obs,avg_npmi_obs,div_all_isolates_obs
0.0,0.0,9.565217391304348,7.06351758208409,-0.595276743372485,18.333333333333332
1.1,0.8,0.391304347826087,0.7223151185146153,-0.2248907430355069,7.2
1.3,0.8,1.826086956521739,1.8986160967936492,-0.13583552501614754,2.0023255813953487
1.5,0.8,3.347826086956522,3.1277162108561214,-0.1804702248027577,2.3130434782608695
1.8,0.8,9.08695652173913,8.696462412844875,-0.2572403937899815,2.988998899889989
2.0,0.8,19.91304347826087,14.684292917877379,-0.37556734283263216,7.022277393813326
2.3,0.8,16.17391304347826,11.376419687282365,-0.38730507356291327,5.951358344113842
2.5,0.8,16.434782608695652,10.603713273088141,-0.2940212500518278,5.331313131313132
3.0,0.8,28.695652173913043,20.73739438048328,-0.41982490677690876,7.540830125871216
3.2,0.8,34.30434782608695,27.2237108929442,-0.4752512355075409,9.673450336071696
1.1,0.9,1.2173913043478262,1.8818878755878592,-0.09407665505226481,1.6363636363636365
1.3,0.9,3.0434782608695654,2.820029994514327,-0.29738176209078726,4.100169779286927
1.5,0.9,0.5652173913043478,0.8434823356733,-0.09407665505226481,1.625
1.8,0.9,8.782608695652174,6.980209177245534,-0.46453680387537555,5.625103906899418
2.0,0.9,9.130434782608695,8.915279773441503,-0.29307383032191375,3.7842731505431972
2.3,0.9,2.8260869565217392,5.149158571271122,-0.13827260995393856,2.191780821917808
2.5,0.9,21.565217391304348,14.275936800837345,-0.41843947611628657,7.880849971111254
3.0,0.9,16.26086956521739,16.017653304754237,-0.3976964143882701,6.043757040117841
3.2,0.9,9.869565217391305,8.899971132874978,-0.22000565917788997,4.477395706056903
