w1,w2,w3,w4,score,n_selected,threshold
0.9,0.1,0.1,0.9,0.4966735,49925,0.03681007848674095
0.8,0.1,0.1,0.9,0.49863037,49925,0.037278406265064526
0.9,0.1,0.1,0.8,0.49882415,49925,0.03686599954439599
0.7,0.1,0.1,0.9,0.5005701,49925,0.03777401694936611
0.9,0.1,0.1,0.7,0.50071543,49925,0.03685925963222696
0.8,0.1,0.1,0.8,0.50152236,49925,0.03739057126175321
0.7,0.1,0.1,0.8,0.5031259,49925,0.037946231606621375
0.8,0.1,0.1,0.7,0.5033198,49925,0.037452676090946414
0.6,0.1,0.1,0.9,0.50392914,49925,0.038301469098939986
0.9,0.1,0.1,0.6,0.5044422,49925,0.036773964784513904
0.7,0.1,0.1,0.7,0.5061624,49925,0.0380646383829043
0.6,0.1,0.1,0.8,0.5065656,49925,0.03852999612554611
0.8,0.1,0.1,0.6,0.50701475,49925,0.037435978519166684
0.5,0.1,0.1,0.9,0.5075435,49925,0.03882174994540894
0.9,0.1,0.2,0.9,0.50811136,49925,0.03947991501308398
0.9,0.1,0.1,0.5,0.50928473,49925,0.03655898574303861
0.7,0.1,0.1,0.6,0.5094099,49925,0.038126996143411335
0.6,0.1,0.1,0.7,0.5094637,49925,0.03872352347216813
0.9,0.1,0.2,0.8,0.509809,49925,0.039474918645652224
0.5,0.1,0.1,0.8,0.5101185,49925,0.039131747161711944
0.8,0.1,0.2,0.9,0.5104314,49925,0.03998053205905812
0.4,0.1,0.1,0.9,0.51109356,49925,0.039329818052794695
0.8,0.1,0.2,0.8,0.51155317,49925,0.040029207465231066
0.8,0.1,0.1,0.5,0.51198196,49925,0.037279244078910305
0.9,0.1,0.2,0.7,0.5122822,49925,0.039386026076083
0.6,0.1,0.1,0.6,0.51297504,49925,0.038859153290729476
0.7,0.1,0.2,0.9,0.5131069,49925,0.04050386169038775
0.5,0.1,0.1,0.7,0.51379186,49925,0.0394018744471881
0.9,0.1,0.1,0.4,0.5145261,49925,0.036151937146188175
0.8,0.1,0.2,0.7,0.5145496,49925,0.0399895382700028
0.7,0.1,0.1,0.5,0.5145699,49925,0.03804627476825412
0.7,0.1,0.2,0.8,0.51481855,49925,0.04060562934189644
