rank,clean_id,original_id,distance,R0,sigma
1,8634,8653,0.0857781982524927,1.593949,0.940974
2,15932,15962,0.0880449123888309,2.3113768,0.8767223
3,19826,19862,0.0930519664393862,1.985501,0.97484636
4,28100,28145,0.0957009981890612,1.6555797,0.9064108
5,1517,1521,0.0974340648646343,1.8030108,0.84332
6,18742,18774,0.0975607907886993,1.4544398,0.74890906
7,17551,17581,0.0981755262562691,1.9707862,0.80353034
8,4490,4499,0.0984406557246927,1.7702621,0.86218864
9,16414,16444,0.0987880555970302,1.5661093,0.6940747
10,25780,25824,0.0996431169897904,1.8048377,0.9056195
11,25003,25046,0.1003306686809007,1.5833068,0.70316035
12,15500,15530,0.1004814637971276,1.5099467,0.6751935
13,25672,25715,0.10160172404278,1.458552,0.37314582
14,31283,31335,0.1019258900710496,1.7693037,0.9102714
15,10129,10153,0.1022191964704569,1.8656613,0.97396165
16,4289,4298,0.1023302818174339,1.8539754,0.96134293
17,8726,8745,0.1030989147156268,1.5893552,0.96135825
18,8426,8444,0.1033223619561138,1.8968692,0.96573687
19,20080,20117,0.1036364770011392,1.8803288,0.8110284
20,29954,30004,0.1037095472073698,2.1571126,0.9399006
21,19407,19441,0.1045957400275168,1.6843033,0.8797089
22,26367,26411,0.1048510373501205,1.8960304,0.99545705
23,295,295,0.1051586185496448,1.9576814,0.99172026
24,23506,23544,0.1053179201444363,1.8522977,0.97685707
25,11453,11479,0.1056450889987664,1.5176237,0.80687463
26,25074,25117,0.1057327250355843,2.0602617,0.9622285
27,7736,7753,0.1057900859839464,2.2921443,0.984223
28,8593,8612,0.1058110381495868,2.2201881,0.9529224
29,14056,14086,0.1069637593106241,2.7549555,0.99858516
30,28837,28883,0.1069775353063605,2.4101124,0.9775767
31,7577,7593,0.1073998057360842,1.6474885,0.84187603
32,3130,3137,0.1075184700003518,1.8364108,0.84731716
33,3250,3257,0.1076105349561009,1.6522204,0.95540243
34,849,852,0.1077463437575568,2.0660746,0.7971788
35,6911,6925,0.1079747598155876,1.7546177,0.911821
36,19075,19108,0.1081434969384514,2.3479939,0.842661
37,18254,18285,0.1082017422649569,1.6432605,0.9112061
38,34045,34100,0.1084096420158389,2.551562,0.9400551
