rank,clean_id,original_id,distance,R0,sigma
1,840439,841730,0.0591640528599764,1.6488343,0.8464284
2,483894,484622,0.0599991657935447,1.7046691,0.9387968
3,939353,940783,0.0615075851029435,1.5047367,0.821347
4,174474,174755,0.0623747980639808,1.6905848,0.9202678
5,881184,882518,0.0625289461441813,1.7158123,0.98631436
6,305865,306349,0.0625371542856632,1.6101861,0.9763642
7,141852,142090,0.0637287219709145,1.9596236,0.98455703
8,214436,214775,0.0637295070117403,1.6125842,0.82278484
9,445382,446062,0.0638839839500409,2.1020696,0.99291307
10,642109,643083,0.0641906239250609,1.5535463,0.890754
11,628069,629030,0.064710497904975,2.0918949,0.8930467
12,97655,97824,0.0654705682929126,1.9502052,0.967174
13,311047,311533,0.0656872154480293,1.5911754,0.99037296
14,409188,409816,0.0657790557928944,1.5128591,0.9738193
15,346723,347252,0.0658737291877061,1.6147611,0.86251116
16,863354,864675,0.0660755270997342,1.66364,0.904716
17,861800,863118,0.0661539812765009,1.7644722,0.90791506
18,131323,131550,0.0663995350630553,1.7151757,0.80600286
19,553374,554226,0.0665646895844809,1.8199197,0.954174
20,791623,792841,0.0666812049438899,1.5468106,0.8720837
21,457709,458401,0.0670030231503979,2.2371871,0.96985865
22,832339,833621,0.0670283257858221,1.6250529,0.86474425
23,44698,44766,0.0670785486861272,1.7430621,0.96597695
24,611575,612518,0.0673241367723468,1.6008934,0.6999083
25,87969,88124,0.0673394460210781,1.5345595,0.83052695
26,527661,528460,0.0673504456710682,1.907416,0.9858668
27,334929,335445,0.067425356603925,1.5811054,0.9680537
28,735927,737061,0.067588019557754,1.7182502,0.90178394
29,15932,15962,0.0684103393118487,2.3113768,0.8767223
30,822693,823960,0.0684134274156685,3.854388,0.94390875
31,672975,673996,0.0688517480900081,1.68359,0.9274256
32,303164,303643,0.069134407894129,1.9700329,0.9873751
33,650063,651041,0.0692586067482093,1.9213425,0.9651327
34,8634,8653,0.0693743887703671,1.593949,0.940974
35,991172,992666,0.0694074891761998,1.6019729,0.8217014
36,584880,585785,0.0695663276427643,2.0598342,0.9671739
37,514769,515550,0.069696810952528,1.6410916,0.97821355
38,338669,339189,0.0697359365825493,1.5895283,0.9824197
39,719527,720624,0.070284594665812,1.6599479,0.87644255
40,223952,224304,0.0703108574984355,1.6540213,0.8524092
41,300155,300632,0.0703293608225891,2.039922,0.9784337
42,897768,899130,0.070353386335064,1.989923,0.9634238
43,361786,362339,0.0705059395085158,1.6789644,0.8115078
44,171481,171760,0.0705436997600995,1.7939967,0.8624471
45,904085,905462,0.0706002833734948,1.4078788,0.62650466
46,863399,864720,0.0706473710615444,1.8202751,0.9488984
47,92436,92599,0.0709291688025872,1.5694724,0.8454549
48,600908,601841,0.0711022632344994,1.5750303,0.9100244
49,871634,872959,0.0711091211684416,1.8643112,0.9041776
50,560152,561013,0.0715955330703489,2.0412316,0.9558473
51,177538,177824,0.0716177793633512,1.8652796,0.9315473
52,451569,452256,0.0716723103004844,1.9800321,0.9706186
53,808305,809548,0.0716866094860311,1.7880893,0.9750357
54,63531,63642,0.0717199957507232,1.8266445,0.99994826
55,315561,316051,0.07180539601775,1.830604,0.9649133
56,503527,504293,0.0718501906429278,1.7234417,0.92734593
57,727887,729001,0.0718933544895508,2.0136025,0.99939203
58,674771,675798,0.0719335552755218,1.4758531,0.87011504
59,539725,540551,0.071943641256379,1.7461488,0.9277862
60,667063,668071,0.0720876543858073,1.7032446,0.8922694
61,981382,982865,0.072119555097206,1.8320367,0.91451
62,178401,178687,0.0723092217928612,1.7664944,0.89218897
63,110456,110642,0.0723511906604171,1.6110036,0.9292511
64,481432,482160,0.0724095268188304,1.7794701,0.9763856
65,657499,658491,0.0724635034830544,1.814109,0.9196651
66,425597,426251,0.0724852999976642,1.5568677,0.9631495
67,661531,662527,0.072490725341853,2.1792011,0.98364973
68,151000,151250,0.0725369339906065,1.7614458,0.8706846
69,366537,367098,0.0725566659894803,1.5080385,0.97931993
70,279534,279982,0.0726880503542006,1.7056197,0.9831739
71,123183,123395,0.0727164606544711,1.9277313,0.9822803
72,68512,68635,0.0727859262633042,1.7499983,0.8737113
73,837978,839268,0.0728447379470393,1.663796,0.9638324
74,881123,882457,0.0728532735295991,1.6670387,0.9364958
75,287865,288327,0.0728896577958892,1.6947554,0.7923465
76,440832,441508,0.0729777980062888,1.7684661,0.96567214
77,907855,909235,0.0730525642398506,2.0826108,0.98890054
78,172055,172334,0.0730749222848726,1.6550319,0.76380444
79,216490,216833,0.0731213364796605,1.6639478,0.91796464
80,38940,39003,0.0732589049998168,1.4737102,0.6639323
81,733582,734711,0.0732684600559382,1.4608214,0.85097253
82,366566,367127,0.0733158216210794,1.9573327,0.8682923
83,758481,759645,0.0733261229557422,1.6639737,0.9853096
84,638005,638973,0.0733863252948301,2.1900568,0.7894759
85,315476,315966,0.0734057061450312,3.8675427,0.94631016
86,676628,677657,0.0734062421143825,2.5956635,0.94465226
87,524146,524943,0.0735173081648607,1.5987496,0.7635721
88,636534,637501,0.0735659441787014,2.1321664,0.92777324
89,930172,931583,0.0737393308018919,1.6365197,0.7345502
90,25003,25046,0.0737967339303198,1.5833068,0.70316035
91,838307,839597,0.0738026856046651,2.2408242,0.98656213
92,675454,676482,0.073808100209865,2.5697553,0.95342195
93,683402,684446,0.0738860166025392,2.2947667,0.9979929
94,870405,871729,0.0738914085068418,1.8188088,0.98920685
95,477451,478171,0.0739960529702612,1.9291279,0.9462229
96,287999,288462,0.0740035317317046,1.5500339,0.80422753
97,692667,693724,0.0740240446891468,1.6505352,0.92903686
98,339885,340406,0.0740245689643258,1.8877431,0.8655827
99,631306,632269,0.0740271599589994,1.8528048,0.86856776
100,948502,949941,0.0741913983328723,1.7115247,0.8595214
