R0,sigma,weight
0.0,0.5,0.04259146864157438
0.0,0.8333333333333333,0.04738166024289023
0.0,1.1666666666666665,0.04706890301195462
0.0,1.5,0.04510144234633434
1.25,0.5,0.04177341104385395
1.25,0.8333333333333333,0.03908921452405323
1.25,1.1666666666666665,0.038796735968605986
1.25,1.5,0.038774126596571194
2.5,0.5,0.05502430802471762
2.5,0.8333333333333333,0.055034976957398514
2.5,1.1666666666666665,0.0547972900492273
2.5,1.5,0.05504392585211389
3.75,0.5,0.05474379186943544
3.75,0.8333333333333333,0.0549251903641205
3.75,1.1666666666666665,0.05504184260811404
3.75,1.5,0.054926315498176344
5.0,0.5,0.05488933861694003
5.0,0.8333333333333333,0.054998146677483
5.0,1.1666666666666665,0.05499820896932687
5.0,1.5,0.05499970213710864
