R0,sigma,weight
0.0,0.5,0.042162448898596064
0.0,0.6666666666666666,0.041908076481447794
0.0,0.8333333333333333,0.04044980964640061
0.0,1.0,0.040266496505991525
1.25,0.5,0.04858037560990286
1.25,0.6666666666666666,0.04622460242754707
1.25,0.8333333333333333,0.049067701602081376
1.25,1.0,0.04592797607181376
2.5,0.5,0.05394273079694882
2.5,0.6666666666666666,0.05393118329425813
2.5,0.8333333333333333,0.05394687074211176
2.5,1.0,0.05394211346122561
3.75,0.5,0.05378179831999453
3.75,0.6666666666666666,0.05373822144460252
3.75,0.8333333333333333,0.05371390132456144
3.75,1.0,0.053697469785966394
5.0,0.5,0.05369581708070957
5.0,0.6666666666666666,0.05368174849423969
5.0,0.8333333333333333,0.05367130351253211
5.0,1.0,0.0536693544990683
