avg_time,num_strains,avg_div,avg_npmi,div_all_isolates
1.553333333333333321e+01,1.500000000000000000e+01,1.013043478260869534e+01,-1.77E-01,9.227080136500012131e+00
2.033333333333333215e+01,1.500000000000000000e+01,1.326086956521739069e+01,-9.15E-03,1.371924576893541747e+01
1.707142857142857295e+01,1.400000000000000000e+01,1.039130434782608781e+01,-2.16E-01,8.122411682802836097e+00
1.676470588235294201e+01,1.700000000000000000e+01,1.239130434782608781e+01,6.047601484717300691e-02,1.074959349593495972e+01
1.646153846153845990e+01,1.300000000000000000e+01,9.304347826086956985e+00,-2.96E-01,8.520536623224778339e+00
1.906250000000000000e+01,1.600000000000000000e+01,1.326086956521739069e+01,8.504996179877505336e-02,1.288385238597745541e+01
2.206666666666666643e+01,1.500000000000000000e+01,1.439130434782608781e+01,3.052307502404062386e-02,1.419674057256889554e+01
1.063636363636363669e+01,1.100000000000000000e+01,5.086956521739130821e+00,-5.10E-01,5.441642508240340348e+00
2.018750000000000000e+01,1.600000000000000000e+01,1.404347826086956452e+01,9.923481648610574246e-02,1.348018713023534687e+01
7.750000000000000000e+00,4.000000000000000000e+00,1.347826086956521729e+00,-3.39E-01,1.276983503534956821e+00
2.158333333333333215e+01,1.200000000000000000e+01,1.126086956521739069e+01,-2.52E-01,1.129020528636306686e+01
2.035714285714285765e+01,1.400000000000000000e+01,1.239130434782608781e+01,-1.18E-01,1.114645773162907361e+01
6.299999999999999822e+00,1.000000000000000000e+01,2.739130434782608869e+00,-6.22E-01,2.499856363114047575e+00
2.121428571428571530e+01,1.400000000000000000e+01,1.291304347826086918e+01,-1.12E-01,1.142598443271680075e+01
1.860000000000000142e+01,1.500000000000000000e+01,1.213043478260869534e+01,-7.97E-02,1.106403226199906875e+01
1.487500000000000000e+01,1.600000000000000000e+01,1.034782608695652151e+01,-1.36E-01,8.411684453883168544e+00
1.900000000000000000e+01,1.500000000000000000e+01,1.239130434782608781e+01,-6.06E-02,1.159360195266329008e+01
2.172727272727272663e+01,1.100000000000000000e+01,1.039130434782608781e+01,-3.20E-01,9.324962292609351167e+00
2.050000000000000000e+01,1.400000000000000000e+01,1.247826086956521685e+01,-1.45E-01,1.122494633090971128e+01
1.727272727272727337e+01,1.100000000000000000e+01,8.260869565217390686e+00,-3.82E-01,7.508036068716456235e+00
